territoire_brut,fk_territoire,theme,indicateur,valeur,fichier_source,territoire_id
Tanger-Assilah,tanger assilah,sante,essp_csr2,3,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,2.0
Tanger-Assilah,tanger assilah,sante,essp_dr,0,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,2.0
Tanger-Assilah,tanger assilah,sante,essp_total,9,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,2.0
Tanger-Assilah,tanger assilah,sante,essp_csu1,21,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,2.0
Tanger-Assilah,tanger assilah,sante,essp_csu2,7,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,2.0
Tanger-Assilah,tanger assilah,sante,essp_urbain_total,28,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,2.0
Tanger-Assilah,tanger assilah,sante,essp_total_global,37,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,2.0
Tanger-Assilah,tanger assilah,sante,cdtmr_total,1,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,2.0
Tanger-Assilah,tanger assilah,sante,crsr_total,1,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,2.0
Tanger-Assilah,tanger assilah,sante,lsp_total,1,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,2.0
Tanger-Assilah,tanger assilah,sante,structures_appui_total,3,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,2.0
