id,theme,nom,prov,taux
385,socio_economic,Statut professionnel des actifs occupés de 15 ans et plus (%) - Apprenti,8,True
386,socio_economic,Statut professionnel des actifs occupés de 15 ans et plus (%) - Autre,8,True
387,socio_economic,Statut professionnel des actifs occupés de 15 ans et plus (%) - Coopérateur/Associé,8,True
388,socio_economic,Statut professionnel des actifs occupés de 15 ans et plus (%) - Employeur,8,True
389,socio_economic,Statut professionnel des actifs occupés de 15 ans et plus (%) - Indépendant,8,True
390,socio_economic,Statut professionnel des actifs occupés de 15 ans et plus (%) - Salarié du secteur privé,8,True
391,socio_economic,Statut professionnel des actifs occupés de 15 ans et plus (%) - Salarié du secteur public,8,True
392,socio_economic,Taux d'activité des 15 ans et plus (%),8,True
393,socio_economic,Taux de chômage (%),8,True
394,socio_economic,Taux de prévalence du handicap (%),8,True
