etablissement_id,nom_etablissement,adresse,commune,province,region,type_etablissement,fk_territoire,commune_norm,territoire_id_commune
191,MOULAY ISMAIL CENTRE,DOUAR AIN LAABID COMMUNE ZOUADA,Zouada,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,zouada,83
192,SS FRIHIYINE CENTRE ,DOUAR FRIHYINE COMMUNE ZOUADA,Zouada,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,zouada,83
193,HOUMAN EL FETOUAKI OULED RAFAA CENTRE ,DOUAR OULED RAFAE COMMUNE ZOUADA,Zouada,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,zouada,83
194,CHLIHATE EL MJAHDINE CENTRE,DOUAR CHLIHAT COMMUNE ZOUADA,Zouada,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,zouada,83
195,OULED BOURBIAA   CENTRE,DOUAR OULED BOURBIAA COMMUNE ZOUADA,Zouada,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,zouada,83
196, SS SALAH  EDDINE  EL AYOUBI  ,DOUAR OULED HAMMOU EL GHABA COMMUNE LAOUAMRA,Laouamra,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,laouamra,82
197,MOUSSA  BNOU  NOSSAIR CENTRE ,DOUAR BOUCHAREN COMMUNE LAOUAMRA,Laouamra,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,laouamra,82
198,IBNOU  BATOUTA  ZLAOULA  CENTRE ,DOUAR ZLAOULA COMMUNE LAOUAMRA,Laouamra,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,laouamra,82
199,SATTELITE LAGHWAZI,DOUAR LAGHWAZI COMMUNE LAOUAMRA,Laouamra,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,laouamra,82
200,OULED  LAGHMARI CENTRE ,DOUAR OULED LAGHMARI COMMUNE LAOUAMRA,Laouamra,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,laouamra,82
201,ECOLE OULED SKHAR,DOUAR OULED SKHAR COMMUNE LAOUAMRA,Laouamra,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,laouamra,82
202,RHAMNA CENTRE,DOUAR RHAMNA COMMUNE LAOUAMRA,Laouamra,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,laouamra,82
203,ECOLE EL HYAYDA,DOUAR HYAYDA COMMUNE LAOUAMRA,Laouamra,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,laouamra,82
204,ELMOUARAA RMEL CENTRE,DOUAR MOUARAA RMEL COMMUNE LAOUAMRA,Laouamra,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,laouamra,82
205,HASSAN II CENTRE AMGADI,DOUAR MGADI COMMUNE BOU JEDYANE,Bou Jedyane,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,boujedyane,85
206,IMAM MALEK CENTRE ZAHJOUKA,DOUAR ZAHJOUKA COMMUNE BOU JEDYANE CDT TATOFT,Bou Jedyane,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,boujedyane,85
207,LAAZIB SEFLI CENTRE,DOUAR LAAZIB SEFLI COMMUNE BOU JEDYANE,Bou Jedyane,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,boujedyane,85
208,BIR DOUAR CENTRE,DOUAR BIR DOUAR COMMUNE BOUJEDIANE,Bou Jedyane,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,boujedyane,85
209,SIDI BOUSSEFRA CENTRE,DOUAR SIDI BOUSSEFRA COMMUNE BOUJEDYANE,Bou Jedyane,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,boujedyane,85
210,ELKOURTOBI CENTRE,KOLLA CENTRE COMMUNE SOUK L QOLLA,Souk L'Qolla,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,souk l'qolla,87
211,TAZROUT EL KOLLA CENTRE,MADCHAR TAZROUTE BNI ZEKKAR COMMUNE SOUK L QOLLA,Souk L'Qolla,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,souk l'qolla,87
212,SAFOHAR CENTRE ,DOUAR SAFOHAR COMMUNE L QOLLA,Souk L'Qolla,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,souk l'qolla,87
213,AMGADI BNI YASSEF CENTRE,DOUAR AMGADI BNI YESSEF COMMUNE SOUK LQOLLA,Souk L'Qolla,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,souk l'qolla,87
214,OUNSSAR BNI ABDALLAH CENTRE,DOUAR OUNSSAR BNI ABDALLAH COMMUNE L QOLLA,Souk L'Qolla,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,souk l'qolla,87
215,AMEZOIK CENTRE ,DOUAR AMEZOUAK COMMUNE L QOLLA,Souk L'Qolla,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,souk l'qolla,87
216,OUNSSAR EL HAJ  CENTRE ,DOUAR OUNSSAR EL HAJ COMMUNE L QOLLA,Souk L'Qolla,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,souk l'qolla,87
217,ESSAF  CENTRE ,DOUAR ESSAF COMMUNE L QOLLA,Souk L'Qolla,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,souk l'qolla,87
218,11 JANVIER MELIANA  CENTRE ,DOUAR MELIANA COMMUNE TATOFT,Tatoft,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,tatoft,86
219,DAR  LOUZARI  CENTRE,DOUAR DAR LOUZARI COMMUNE TATOFT,Tatoft,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,tatoft,86
220,SAF TRAOULA CENTRE,DOUAR SAF TRAOULA COMMUNE TATOFT,Tatoft,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,tatoft,86
221,OMAR IBN ELKHATTAB  OULED AMRANE CENTRE ,DOUAR OULED OMRANE COMMUNE OULED OUCHIH,Oulad Ouchih,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,oulad ouchih,96
222,CHLIHATE CENTRE,DOUAR CHLIHATE COMMUNE OULED OUCHIH,Oulad Ouchih,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,oulad ouchih,96
223,BOICHTA CENTRE ,DOUAR BOICHTA COMMUNE OULED OUCHIH,Oulad Ouchih,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,oulad ouchih,96
224, ECOLE EL MASSIRA EL KHADRA  GCHACHRA,DOUAR KCHACHRA COMMUNE KSAR BJIR,Ksar Bjir,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,ksar bjir,84
225, SS ELKHYAITA ,DOUAR KHYAYTA COMMUNE KSAR BJIR,Ksar Bjir,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,ksar bjir,84
226,AIN MOASKAR CENTRE,DOUAR AIN MOASKAR COMMUNE KSAR BJIR,Ksar Bjir,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,ksar bjir,84
227,EL  SRIMA CENTRE,DOUAR SRIMA COMMUNE KSAR BJIR,Ksar Bjir,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,ksar bjir,84
228,EL BNANDA  CENTRE ,DOUAR LEBNANDA COMMUNE KSAR BJIR,Ksar Bjir,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,ksar bjir,84
229,AHMED ELMANSOUR EDDAHBI SOUAKEN CENTRE ,DOUAR SOUKEN COMMUNE SOUAKEN,Souaken,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,souaken,97
