id,nom,theme,couv,zeros,taux,vmin,vmax
309,routes_regionales_dont_revetues_km,infrastructure,0,0,,,
310,routes_regionales_total_km,infrastructure,0,0,,,
311,autoroutes_km,infrastructure,0,0,,,
312,niveau_fragilite_transport,infrastructure,0,0,,,
313,part_autoroute_pct_du_reseau,infrastructure,0,0,%,,
314,part_routes_provinciales_pct,infrastructure,0,0,%,,
315,reseau_revetu_km,infrastructure,0,0,,,
316,reseau_total_km,infrastructure,0,0,,,
317,routes_nationales_km,infrastructure,0,0,,,
318,routes_provinciales_km,infrastructure,0,0,,,
319,routes_regionales_km,infrastructure,0,0,,,
320,score_fragilite_transport,infrastructure,0,0,,,
321,taux_revetement_pct,infrastructure,0,0,%,,
322,electricite_ventes_distributeur_2022,infrastructure,0,0,,,
323,electricite_ventes_distributeur_2023,infrastructure,0,0,,,
324,electricite_ventes_distributeur_2024,infrastructure,0,0,,,
325,electricite_ventes_provinces_2022,infrastructure,0,0,,,
326,electricite_ventes_provinces_2023,infrastructure,0,0,,,
327,electricite_ventes_provinces_2024,infrastructure,0,0,,,
328,Niveau d'études de la population âgée de 25 ans et p,socio_economic,0,0,%,,
329,Nombre moyen d'années d'études dans l'enseignement g,socio_economic,0,0,,,
330,Population alphabète de 10 ans et plus,socio_economic,0,0,,,
331,Population de 10 ans et plus,socio_economic,0,0,,,
332,Population de 15 ans et plus,socio_economic,0,0,,,
333,Population de 7-12 ans,socio_economic,0,0,,,
334,Taux d'analphabétisme des 10 ans et plus (%),socio_economic,0,0,%,,
335,Taux d'analphabétisme des 15 ans et plus (%),socio_economic,0,0,%,,
336,Taux d'analphabétisme selon les groupes d’âges (%),socio_economic,0,0,%,,
337,Taux de scolarisation des 12-17 ans en 2023/2024 (%),socio_economic,0,0,%,,
338,Taux de scolarisation des 4- 5 ans en 2023/2024 (%),socio_economic,0,0,%,,
339,Taux de scolarisation des 6- 11 ans en 2023/2024 (%),socio_economic,0,0,%,,
340,50 ans et plus,socio_economic,37,110,%,0.0,100.0
341,Appartement,socio_economic,37,3,%,0.0,67.7
342,Autres,socio_economic,37,0,%,0.0,43.1
343,Autres type,socio_economic,37,0,%,0.1,3.8
344,"Béton armé, briques avec mortier",socio_economic,37,0,%,53.1,99.9
345,Dalle,socio_economic,37,0,%,52.7,99.4
346,De 20 à moins de 50 ans,socio_economic,37,40,%,0.0,100.0
347,Logement en type rural,socio_economic,37,4,%,0.0,47.1
348,Logement occupé,socio_economic,37,0,%,21.7,85.4
349,Logement secondaire/saisonnier,socio_economic,37,0,%,4.5,63.9
350,Logement vacants,socio_economic,37,0,%,2.7,27.8
351,Maison marocaine moderne,socio_economic,37,0,%,30.0,97.6
352,Maison marocaine traditionnelle,socio_economic,37,1,%,0.0,12.3
353,Maison sommaire ou bidonville,socio_economic,37,4,%,0.0,7.8
354,Moins de 20 ans,socio_economic,37,18,%,0.0,100.0
355,Pierre agglomérée avec mortier,socio_economic,37,1,%,0.0,14.9
356,"Planches, bois ou tuiles",socio_economic,37,0,%,0.4,3.9
357,Réseau public d'assainissement,socio_economic,37,0,%,20.5,99.1
358,Réseau public d'eau,socio_economic,37,0,%,19.9,97.5
359,Réseau public d'électricité,socio_economic,37,0,%,81.5,98.7
360,Taux de déficit quantitatif en logement (%),socio_economic,36,0,%,0.6,126.5
361,Total des logements urbains,socio_economic,37,0,,362.0,485227.0
362,Total logement non occupé,socio_economic,37,0,%,14.6,78.3
363,Total non précaire,socio_economic,37,0,%,51.4,99.8
364,Total précaire,socio_economic,37,0,%,0.2,48.6
