indicateur_id,nom_indicateur,theme,table_pg,mode_stockage,colonne_valeur,filtre_indicateur,colonne_territoire,unite
108,Niveau d'études dans l'enseignement général (%) - Préscolaire,education,education_etab_scoalires_mesures_rgph2024_population_educati,long,valeur,Niveau d'études dans l'enseignement général (%) - Préscolaire,territoire_id,
109,Niveau d'études dans l'enseignement général (%) - Secondaire collégial,education,education_etab_scoalires_mesures_rgph2024_population_educati,long,valeur,Niveau d'études dans l'enseignement général (%) - Secondaire collégial,territoire_id,
110,Niveau d'études dans l'enseignement général (%) - Secondaire qualifiant,education,education_etab_scoalires_mesures_rgph2024_population_educati,long,valeur,Niveau d'études dans l'enseignement général (%) - Secondaire qualifiant,territoire_id,
111,Niveau d'études dans l'enseignement général (%) - Supérieur,education,education_etab_scoalires_mesures_rgph2024_population_educati,long,valeur,Niveau d'études dans l'enseignement général (%) - Supérieur,territoire_id,
112,Population alphabète de 10 ans et plus,education,education_etab_scoalires_mesures_rgph2024_population_educati,long,valeur,Population alphabète de 10 ans et plus,territoire_id,
113,Taux d'analphabétisme des 10 ans et plus (%),education,education_etab_scoalires_mesures_rgph2024_population_educati,long,valeur,Taux d'analphabétisme des 10 ans et plus (%),territoire_id,
114,Taux d'analphabétisme des 15 ans et plus (%),education,education_etab_scoalires_mesures_rgph2024_population_educati,long,valeur,Taux d'analphabétisme des 15 ans et plus (%),territoire_id,
115,Taux de scolarisation des 6-11 ans en 2023/2024 (%),education,education_etab_scoalires_mesures_rgph2024_population_educati,long,valeur,Taux de scolarisation des 6-11 ans en 2023/2024 (%),territoire_id,
116,Nombre d'établissements collegial,education,education_indicateur_nombre_etablissements,long,valeur,Nombre d'établissements collegial,territoire_id,nombre
117,Nombre d'établissements primaire,education,education_indicateur_nombre_etablissements,long,valeur,Nombre d'établissements primaire,territoire_id,nombre
118,Nombre d'établissements qualifiant,education,education_indicateur_nombre_etablissements,long,valeur,Nombre d'établissements qualifiant,territoire_id,nombre
119,Nombre d'établissements collegial,education,education_indicateur_nombre_etablissements_commune,long,valeur,Nombre d'établissements collegial,territoire_id,nombre
