province_prefecture,commune_rurale,nb_douars,menages_total,acces_sante_km,acces_sante_med,acces_route_goudronnee_km,acces_ecole_primaire_km,acces_college_km,pct_douars_sante_plus5km,territoire_id
وزان Ouazzane,Ain Beida عين بيضاء,35.0,2611.0,10.2,4.6,3.5,1.6,10.7,48.6,177.0
شفشاون Chefchaouen,Derdara الدردارة,36.0,2506.0,10.1,9.8,5.0,1.2,10.4,63.9,153.0
شفشاون Chefchaouen,باب برد Bab Berred,30.0,4069.0,9.9,8.2,4.2,1.5,10.7,66.7,136.0
 الحسيمة  Al Hoceima,Bni Ahmed Imoukzan بني احمد اموكزان,17.0,1617.0,9.9,8.1,5.5,2.2,9.9,70.6,127.0
 الحسيمة  Al Hoceima,Nekkour النكور,5.0,1956.0,9.7,9.1,0.8,1.4,9.5,60.0,111.0
شفشاون Chefchaouen,Bni Rzine بني رزين,30.0,3366.0,9.6,7.6,4.7,1.9,9.6,63.3,142.0
شفشاون Chefchaouen,Iounane اونان,24.0,3966.0,9.5,7.8,5.3,2.4,10.1,70.8,137.0
العرائش Larache,Sahel الساحل,18.0,2716.0,9.5,10.1,1.8,1.0,9.5,88.9,93.0
فحص - انجرة Fahs-Anjra,Ksar Sghir القصر الصغير,18.0,4391.0,9.5,9.2,0.4,0.9,9.5,77.8,75.0
Tanger-Assilah طنجة - أصيلة ,HJAR ENNHAL حجر النحل,8.0,1784.0,9.3,8.1,1.1,2.0,8.4,87.5,37.0
وزان Ouazzane,Asjen اسجن,25.0,3048.0,8.8,14.2,1.0,0.9,10.9,68.0,175.0
Tétouan تطوان,Bni Leit بني ليت,7.0,1004.0,8.7,5.9,3.6,1.4,6.3,71.4,63.0
 الحسيمة  Al Hoceima,Bni Bounsarبني بونصار,22.0,1357.0,8.6,3.4,2.8,2.0,8.0,36.4,126.0
شفشاون Chefchaouen,Tanaqoub تنقوب,41.0,1808.0,8.3,4.3,2.8,1.1,8.9,46.3,154.0
شفشاون Chefchaouen,Bni Ahmed Gharbia بني احمد الغربية,22.0,2655.0,8.3,8.8,1.9,1.4,6.1,63.6,145.0
 الحسيمة  Al Hoceima,Bni Ammart بني عمارت,18.0,1242.0,8.3,7.5,1.4,1.7,8.3,66.7,122.0
فحص - انجرة Fahs-Anjra,Malloussa ملوسة,17.0,4627.0,8.2,7.9,1.2,1.8,7.4,70.6,73.0
Tétouan تطوان,Azla أزلا,18.0,5553.0,8.2,8.0,0.6,1.2,5.4,72.2,69.0
العرائش Larache,Rissana Janoubia  ريصانة الجنوبية,15.0,3814.0,8.2,6.0,3.0,1.5,8.2,53.3,95.0
وزان Ouazzane,Kalaat Bouqorra قلعة بوقرة,25.0,3767.0,8.1,6.5,1.4,1.9,8.0,52.0,178.0
العرائش Larache,Souk Tolba سوق الطلبة,25.0,2894.0,8.0,3.1,0.7,0.9,6.0,40.0,98.0
شفشاون Chefchaouen,Amtar امتار ,28.0,1814.0,8.0,0.8,1.4,0.5,8.0,46.4,139.0
Tétouan تطوان,Bni Harchen بني حرشن,44.0,1511.0,8.0,3.2,1.5,1.2,8.4,40.9,56.0
العرائش Larache,Bni Garfett بني كرفط,23.0,2713.0,8.0,7.5,1.7,1.7,7.9,52.2,91.0
شفشاون Chefchaouen,Bni Faghloum بني فغلوم,12.0,2165.0,8.0,8.7,3.7,1.8,8.0,66.7,151.0
العرائش Larache,Rissana Chamalia ريصانة الشمالية,23.0,2797.0,7.9,4.1,1.9,1.7,8.0,47.8,94.0
شفشاون Chefchaouen,باب تازة Bab Taza,20.0,4784.0,7.9,6.1,1.6,1.4,8.5,55.0,148.0
 الحسيمة  Al Hoceima,Bni Bchirبني ابشير,22.0,1078.0,7.8,7.0,5.2,1.5,7.8,59.1,125.0
 الحسيمة  Al Hoceima,Issaguen اساكن,31.0,3053.0,7.8,5.2,4.4,3.0,8.0,54.8,131.0
فحص - انجرة Fahs-Anjra,Ksar El Majaz القصر المجاز,23.0,3437.0,7.8,8.1,1.7,1.5,8.3,73.9,79.0
Tétouan تطوان,Bghaghza بغاغزة,25.0,1386.0,7.7,7.0,0.6,0.7,7.4,56.0,62.0
M'diq Fnideq المضيق - الفنيدق,Allyene عليين,13.0,2131.0,7.7,7.9,2.7,1.7,7.6,69.2,49.0
شفشاون Chefchaouen,Steha اسطيحة,34.0,2391.0,7.7,10.7,3.0,0.9,7.6,64.7,159.0
وزان Ouazzane,Zghira ازغيرة,30.0,3637.0,7.6,6.3,0.7,1.9,7.2,73.3,169.0
وزان Ouazzane,Lamjaara لمجاعرة,31.0,3260.0,7.6,6.2,0.9,1.9,7.9,54.8,171.0
العرائش Larache,Zaaroura زعرورة,19.0,2226.0,7.6,8.0,1.4,0.9,7.6,73.7,92.0
Tétouan تطوان,Ain Lahsan عين لحصن,15.0,1888.0,7.4,5.0,0.9,2.0,6.5,46.7,53.0
 الحسيمة  Al Hoceima,Bni Boufrah بني بوفراح,25.0,2083.0,7.4,4.8,1.8,3.0,7.2,48.0,104.0
شفشاون Chefchaouen,Mansoura المنصورة,27.0,2960.0,7.3,6.2,5.0,2.1,7.3,74.1,147.0
 الحسيمة  Al Hoceima,Bni Hadifa بني حذيفة,7.0,681.0,7.3,5.8,1.1,1.5,7.5,57.1,116.0
Tétouan تطوان,AL Kharroub الخروب,10.0,509.0,7.2,5.4,0.5,1.5,7.2,50.0,57.0
 الحسيمة  Al Hoceima,Tamsaout تامساوت,20.0,2761.0,7.2,7.0,3.6,1.6,7.4,65.0,128.0
Tétouan تطوان,Saddina صدينة,13.0,1802.0,7.2,5.0,0.2,5.1,6.6,46.2,59.0
Tétouan تطوان,Zaouiat Sidi Kacem زاوية سيدي قاسم,55.0,2729.0,7.1,0.0,2.7,1.7,7.1,27.3,72.0
شفشاون Chefchaouen,Fifi فيفي,20.0,1627.0,7.1,7.6,3.0,1.8,7.0,65.0,152.0
Tétouan تطوان,Mallalienne الملاليين,10.0,1669.0,7.1,5.4,2.6,1.9,5.0,60.0,58.0
العرائش Larache,Ayacha عياشة,41.0,1775.0,7.0,0.0,2.2,1.6,7.3,31.7,90.0
وزان Ouazzane,Teroual تروال,29.0,3322.0,6.9,6.9,0.6,2.2,7.1,69.0,168.0
وزان Ouazzane,Sidi Redouane سيدي رضوان,32.0,3999.0,6.9,6.6,1.0,1.8,5.1,53.1,166.0
شفشاون Chefchaouen,Bni Selmane بني سلمان,55.0,3958.0,6.8,5.0,1.7,1.3,11.8,49.1,156.0
فحص - انجرة Fahs-Anjra,Anjra أنجرة,37.0,3093.0,6.7,6.5,1.3,1.0,6.5,62.2,77.0
العرائش Larache,Zouada زوادة,26.0,5050.0,6.7,6.5,1.5,1.4,6.7,69.2,83.0
العرائش Larache,Tazroute تازروت,25.0,1354.0,6.7,4.1,2.1,0.7,7.1,48.0,89.0
وزان Ouazzane,Sidi Ahmed Cherif سيدي أحمد الشريف,24.0,2171.0,6.7,6.7,0.9,1.7,6.7,58.3,172.0
 الحسيمة  Al Hoceima,Zaouiat Sidi Abdelkaderزاوية سيدي عبد القادر,15.0,1009.0,6.6,5.0,2.0,2.0,6.5,46.7,115.0
شفشاون Chefchaouen,Talambote تلمبوط,29.0,1569.0,6.5,1.1,4.8,0.8,8.2,20.7,162.0
العرائش Larache,Souaken السواكن,20.0,2699.0,6.5,6.1,0.9,0.9,5.5,60.0,97.0
 الحسيمة  Al Hoceima,Senada سنادة,31.0,1992.0,6.5,5.2,1.8,2.0,7.3,51.6,105.0
شفشاون Chefchaouen,Bni Salah بني صالح,18.0,2057.0,6.4,5.0,1.4,1.9,5.3,50.0,149.0
شفشاون Chefchaouen,Tassift تاسيفت,20.0,1459.0,6.3,2.1,2.5,0.9,6.8,40.0,161.0
Tanger-Assilah طنجة - أصيلة ,Aquouass Briech اقواس برييش,11.0,1190.0,6.3,8.9,1.0,1.7,8.8,72.7,42.0
 الحسيمة  Al Hoceima,Sidi Boutmim سيدي بوتميم,15.0,1886.0,6.2,6.7,2.0,1.4,6.0,60.0,123.0
شفشاون Chefchaouen,Laghdirلغدير,24.0,1526.0,6.2,4.0,4.1,1.1,8.6,41.7,155.0
 الحسيمة  Al Hoceima,Bni Gmil Maksouline بني جميل مكصولين,29.0,1481.0,6.2,3.0,2.0,1.4,6.3,41.4,106.0
 الحسيمة  Al Hoceima,Imrabten امرابطن,14.0,1366.0,6.1,4.4,2.1,2.1,6.2,42.9,114.0
Tétouan تطوان,Al Hamra الحمراء,15.0,2399.0,6.1,4.1,1.4,2.4,6.3,26.7,64.0
 الحسيمة  Al Hoceima,Bni Abdallah بني عبد الله,12.0,1283.0,6.0,6.0,2.0,1.7,6.4,58.3,117.0
وزان Ouazzane,Mzefroune امزفرون,17.0,1798.0,6.0,6.0,1.1,0.7,5.7,64.7,164.0
العرائش Larache,Bni Arouss بني عروس,27.0,1971.0,6.0,5.3,1.4,1.0,5.7,51.9,88.0
Tanger-Assilah طنجة - أصيلة ,Laaouama العوامة,9.0,4618.0,5.7,5.2,0.6,1.3,3.5,55.6,40.0
شفشاون Chefchaouen,Bni Ahmed Cherqia بني احمد الشرقية,16.0,2668.0,5.7,5.0,2.8,1.1,5.7,50.0,144.0
وزان Ouazzane,Masmouda مصمودة,30.0,4006.0,5.4,6.6,0.3,0.7,6.4,66.7,165.0
 الحسيمة  Al Hoceima,Beni Gmil بني اكميل,37.0,1546.0,5.3,0.0,1.1,1.0,6.1,27.0,107.0
العرائش Larache,Oulad Ouchih أولاد اوشيح,16.0,2765.0,5.3,4.2,1.0,0.7,6.4,43.8,96.0
Tanger-Assilah طنجة - أصيلة ,Sahel Chamali الساحل الشمالي,13.0,1235.0,5.2,5.7,0.9,1.6,5.1,53.8,44.0
Tétouan تطوان,Souk Kdim سوق القديم,21.0,1986.0,5.1,4.3,0.8,1.5,5.1,42.9,54.0
Tétouan تطوان,Bni Idder بني يدر,27.0,983.0,5.1,2.0,1.3,0.9,5.1,22.2,61.0
العرائش Larache,Ksar Bjir قصر بجير,25.0,4028.0,4.9,2.0,0.7,1.0,3.9,44.0,84.0
 الحسيمة  Al Hoceima,Ait Kamra آيت قمرة,11.0,1332.0,4.9,3.7,1.7,2.0,5.7,45.5,119.0
فحص - انجرة Fahs-Anjra,Jouamaa جوامعة,22.0,2416.0,4.9,2.5,1.0,1.4,4.8,31.8,76.0
Tanger-Assilah طنجة - أصيلة ,Had Al Gharbia حد الغربية,41.0,3084.0,4.8,4.4,0.9,1.4,4.9,46.3,43.0
وزان Ouazzane,Sidi Bousber سيدي بوصبر,20.0,2695.0,4.8,5.7,0.6,1.8,5.2,60.0,173.0
Tanger-Assilah طنجة - أصيلة ,Sebt Azzinate سبت Zinat الزينات,17.0,1729.0,4.6,2.5,1.0,1.6,4.6,35.3,41.0
 الحسيمة  Al Hoceima,Rouadi ارواضي,22.0,1741.0,4.6,4.0,1.1,2.8,4.9,40.9,120.0
