code_geo,collectivite,sexe,indicateur,valeur,fk_territoire,territoire_id,indicateur_id
1511010.0,Commune de Tanger,Masculin,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Amazigh (Tifinagh),1.0,tanger assilah,34.0,102
1511010.0,Commune de Tanger,Masculin,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Anglais,20.5,tanger assilah,34.0,103
1511010.0,Commune de Tanger,Masculin,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Français,53.2,tanger assilah,34.0,105
1511010.0,Commune de Tanger,Masculin,Niveau d'études dans l'enseignement général (%) - Aucun niveau d'études,23.0,tanger assilah,34.0,106
1511010.0,Commune de Tanger,Masculin,Niveau d'études dans l'enseignement général (%) - Préscolaire,1.6,tanger assilah,34.0,108
1511010.0,Commune de Tanger,Masculin,Niveau d'études dans l'enseignement général (%) - Primaire,26.4,tanger assilah,34.0,107
1511010.0,Commune de Tanger,Masculin,Niveau d'études dans l'enseignement général (%) - Secondaire collégial,21.7,tanger assilah,34.0,109
1511010.0,Commune de Tanger,Masculin,Niveau d'études dans l'enseignement général (%) - Secondaire qualifiant,15.0,tanger assilah,34.0,110
1511010.0,Commune de Tanger,Masculin,Niveau d'études dans l'enseignement général (%) - Supérieur,12.4,tanger assilah,34.0,111
1511010.0,Commune de Tanger,Féminin,Taux de scolarisation des 6-11 ans en 2023/2024 (%),96.2,tanger assilah,34.0,115
1511010.0,Commune de Tanger,Féminin,Taux d'analphabétisme des 10 ans et plus (%),20.1,tanger assilah,34.0,113
1511010.0,Commune de Tanger,Féminin,Taux d'analphabétisme des 15 ans et plus (%),22.3,tanger assilah,34.0,114
1511010.0,Commune de Tanger,Féminin,Population alphabète de 10 ans et plus,415966.0,tanger assilah,34.0,112
1511010.0,Commune de Tanger,Féminin,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Arabe,99.2,tanger assilah,34.0,104
1511010.0,Commune de Tanger,Féminin,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Amazigh (Tifinagh),1.0,tanger assilah,34.0,102
1511010.0,Commune de Tanger,Féminin,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Anglais,22.4,tanger assilah,34.0,103
1511010.0,Commune de Tanger,Féminin,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Français,55.9,tanger assilah,34.0,105
1511010.0,Commune de Tanger,Féminin,Niveau d'études dans l'enseignement général (%) - Aucun niveau d'études,29.7,tanger assilah,34.0,106
1511010.0,Commune de Tanger,Féminin,Niveau d'études dans l'enseignement général (%) - Préscolaire,1.2,tanger assilah,34.0,108
1511010.0,Commune de Tanger,Féminin,Niveau d'études dans l'enseignement général (%) - Primaire,25.2,tanger assilah,34.0,107
1511010.0,Commune de Tanger,Féminin,Niveau d'études dans l'enseignement général (%) - Secondaire collégial,17.5,tanger assilah,34.0,109
1511010.0,Commune de Tanger,Féminin,Niveau d'études dans l'enseignement général (%) - Secondaire qualifiant,13.8,tanger assilah,34.0,110
1511010.0,Commune de Tanger,Féminin,Niveau d'études dans l'enseignement général (%) - Supérieur,12.6,tanger assilah,34.0,111
15110105.0,Arrondissement de Mghogha,Ensemble,Taux de scolarisation des 6-11 ans en 2023/2024 (%),96.4,tanger assilah,180.0,115
15110105.0,Arrondissement de Mghogha,Ensemble,Taux d'analphabétisme des 10 ans et plus (%),15.0,tanger assilah,180.0,113
15110105.0,Arrondissement de Mghogha,Ensemble,Taux d'analphabétisme des 15 ans et plus (%),16.7,tanger assilah,180.0,114
15110105.0,Arrondissement de Mghogha,Ensemble,Population alphabète de 10 ans et plus,176851.0,tanger assilah,180.0,112
15110105.0,Arrondissement de Mghogha,Ensemble,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Arabe,99.5,tanger assilah,180.0,104
