code_geo,collectivite,sexe,indicateur,valeur,fk_territoire,territoire_id,indicateur_id
1511.0,Préfecture de Tanger-Assilah,Féminin,Statut professionnel des actifs occupés de 15 ans et plus (%) - Autre,1.3,tanger assilah,2.0,386
1511010.0,Commune de Tanger,Ensemble,Taux de prévalence du handicap (%),3.7,tanger assilah,34.0,394
1511010.0,Commune de Tanger,Ensemble,Langues locales utilisées (non exclusives) (%) - Darija,98.4,tanger assilah,34.0,376
1511010.0,Commune de Tanger,Ensemble,Langues locales utilisées (non exclusives) (%) - Tachelhit,2.5,tanger assilah,34.0,378
1511010.0,Commune de Tanger,Ensemble,Langues locales utilisées (non exclusives) (%) - Tamazight,1.4,tanger assilah,34.0,379
1511010.0,Commune de Tanger,Ensemble,Langues locales utilisées (non exclusives) (%) - Tarifit,4.6,tanger assilah,34.0,380
1511010.0,Commune de Tanger,Ensemble,Langues locales utilisées (non exclusives) (%) - Hassania,0.1,tanger assilah,34.0,377
1511010.0,Commune de Tanger,Ensemble,Population active de 15 ans et plus,489284.0,tanger assilah,34.0,381
1511010.0,Commune de Tanger,Ensemble,Population inactive de 15 ans et plus,449985.0,tanger assilah,34.0,383
1511010.0,Commune de Tanger,Ensemble,Taux d'activité des 15 ans et plus (%),52.1,tanger assilah,34.0,392
1511010.0,Commune de Tanger,Ensemble,Taux de chômage (%),15.3,tanger assilah,34.0,393
1511010.0,Commune de Tanger,Ensemble,Population active occupée de 15 ans et plus,414399.0,tanger assilah,34.0,382
1511010.0,Commune de Tanger,Ensemble,Statut professionnel des actifs occupés de 15 ans et plus (%) - Employeur,2.7,tanger assilah,34.0,388
1511010.0,Commune de Tanger,Ensemble,Statut professionnel des actifs occupés de 15 ans et plus (%) - Indépendant,16.6,tanger assilah,34.0,389
1511010.0,Commune de Tanger,Ensemble,Statut professionnel des actifs occupés de 15 ans et plus (%) - Salarié du secteur public,8.0,tanger assilah,34.0,391
1511010.0,Commune de Tanger,Ensemble,Statut professionnel des actifs occupés de 15 ans et plus (%) - Salarié du secteur privé,67.3,tanger assilah,34.0,390
1511010.0,Commune de Tanger,Ensemble,Statut professionnel des actifs occupés de 15 ans et plus (%) - Aide familial,0.6,tanger assilah,34.0,384
1511010.0,Commune de Tanger,Ensemble,Statut professionnel des actifs occupés de 15 ans et plus (%) - Apprenti,0.6,tanger assilah,34.0,385
1511010.0,Commune de Tanger,Ensemble,Statut professionnel des actifs occupés de 15 ans et plus (%) - Coopérateur/Associé,2.1,tanger assilah,34.0,387
1511010.0,Commune de Tanger,Ensemble,Statut professionnel des actifs occupés de 15 ans et plus (%) - Autre,2.1,tanger assilah,34.0,386
1511010.0,Commune de Tanger,Masculin,Taux de prévalence du handicap (%),3.6,tanger assilah,34.0,394
1511010.0,Commune de Tanger,Masculin,Langues locales utilisées (non exclusives) (%) - Darija,98.5,tanger assilah,34.0,376
1511010.0,Commune de Tanger,Masculin,Langues locales utilisées (non exclusives) (%) - Tachelhit,2.6,tanger assilah,34.0,378
1511010.0,Commune de Tanger,Masculin,Langues locales utilisées (non exclusives) (%) - Tamazight,1.5,tanger assilah,34.0,379
1511010.0,Commune de Tanger,Masculin,Langues locales utilisées (non exclusives) (%) - Tarifit,4.5,tanger assilah,34.0,380
1511010.0,Commune de Tanger,Masculin,Langues locales utilisées (non exclusives) (%) - Hassania,0.1,tanger assilah,34.0,377
1511010.0,Commune de Tanger,Masculin,Population active de 15 ans et plus,350602.0,tanger assilah,34.0,381
1511010.0,Commune de Tanger,Masculin,Population inactive de 15 ans et plus,121457.0,tanger assilah,34.0,383
1511010.0,Commune de Tanger,Masculin,Taux d'activité des 15 ans et plus (%),74.3,tanger assilah,34.0,392
1511010.0,Commune de Tanger,Masculin,Taux de chômage (%),14.4,tanger assilah,34.0,393
1511010.0,Commune de Tanger,Masculin,Population active occupée de 15 ans et plus,300274.0,tanger assilah,34.0,382
1511010.0,Commune de Tanger,Masculin,Statut professionnel des actifs occupés de 15 ans et plus (%) - Employeur,3.2,tanger assilah,34.0,388
1511010.0,Commune de Tanger,Masculin,Statut professionnel des actifs occupés de 15 ans et plus (%) - Indépendant,20.3,tanger assilah,34.0,389
1511010.0,Commune de Tanger,Masculin,Statut professionnel des actifs occupés de 15 ans et plus (%) - Salarié du secteur public,7.1,tanger assilah,34.0,391
1511010.0,Commune de Tanger,Masculin,Statut professionnel des actifs occupés de 15 ans et plus (%) - Salarié du secteur privé,63.1,tanger assilah,34.0,390
1511010.0,Commune de Tanger,Masculin,Statut professionnel des actifs occupés de 15 ans et plus (%) - Aide familial,0.6,tanger assilah,34.0,384
